"Cluster","CellType"
"0","Neurons"
"1","Neurons"
"2","Macrophages"
"3","Epithelial cells"
"4","B cells"
"5","Endothelial cells"
"6","Neurons"
"7","NK cells"
"8","Fibroblasts"
"9","Epithelial cells"
"10","Neutrophils"
"11","Monocytes"
"12","Neurons"
"13","Epithelial cells"
"14","Epithelial cells"
"15","Monocytes"
"16","Epithelial cells"
"17","DC"
"18","Epithelial cells"
"19","Stromal cells"
"20","Granulocytes"
"21","Epithelial cells"
"22","Epithelial cells"
"23","Neurons"
"24","Epithelial cells"
"25","Epithelial cells"
"26","Epithelial cells"
"27","Fibroblasts"
"28","Monocytes"
"29","Fibroblasts"
"30","Epithelial cells"
"31","Granulocytes"
"32","B cells"
"33","Epithelial cells"
"34","Epithelial cells"
"35","Epithelial cells"
"36","T cells"
"37","Epithelial cells"
"38","Epithelial cells"
"39","Stem cells"
